Density,Safe_Mines_Flagged_Rate,,,Density,Safe_Mines_Flagged_Rate
0,1,,,0,1
0.05,0.98,,,0.05,0.975
0.1,0.958888889,,,0.1,0.968888889
0.15,0.853021978,,,0.15,0.853021978
0.2,0.786685587,,,0.2,0.786685587
0.25,0.688179936,,,0.25,0.820179936
0.3,0.639521368,,,0.3,0.771521368
0.35,0.618423645,,,0.35,0.750423645
0.4,0.501847042,,,0.4,0.633847042
0.45,0.467621615,,,0.45,0.599621615
0.5,0.511583969,,,0.5,0.643583969
0.55,0.430190967,,,0.55,0.562190967
0.6,0.429744064,,,0.6,0.561744064
0.65,0.310378389,,,0.65,0.442378389
0.7,0.281235217,,,0.7,0.271235217
0.75,0.277333936,,,0.75,0.277333936
0.8,0.167826078,,,0.8,0.167826078
0.85,0.267434775,,,0.85,0.227434775
0.9,0.226394812,,,0.9,0.216394812
0.95,0.231941721,,,0.95,0.226941721
1,0,,,1,0
